Formatted Date,Time,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Humidity,Month,Day,Year
9/29/2007,00:00.0,Clear,rain,16.22777778,16.22777778,8.4203,159,8.1305,1022.07,0.85,9,29,2007
9/29/2007,00:00.0,Clear,rain,18.9,18.9,8.3398,132,9.6278,1022.08,0.65,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,21.11111111,21.11111111,7.6153,126,11.2056,1022.07,0.49,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,22.22222222,22.22222222,8.3076,189,9.982,1021.98,0.43,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,22.6,22.6,5.313,189,10.3523,1021.79,0.44,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,22.8,22.8,11.3183,199,9.982,1021.46,0.38,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,22.33888889,22.33888889,5.2969,186,9.982,1021.37,0.39,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,22.29444444,22.29444444,8.9838,187,10.3523,1021.44,0.42,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,20.04444444,20.04444444,4.9427,194,9.982,1021.58,0.52,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,17.22222222,17.22222222,5.0393,160,9.982,1021.9,0.62,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,14.02222222,14.02222222,2.8658,133,9.982,1022.28,0.77,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,14.02222222,14.02222222,2.8658,133,9.982,1022.28,0.77,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,12.68888889,12.68888889,1.449,293,9.982,1022.71,0.77,9,29,2007
9/29/2007,00:00.0,Partly Cloudy,rain,12.59444444,12.59444444,3.22,40,15.8263,1022.9,0.75,9,29,2007
9/29/2007,00:00.0,Clear,rain,11.67222222,11.67222222,5.2325,18,14.9569,1023.13,0.84,9,29,2007
12/13/2008,00:00.0,Overcast,rain,3.861111111,2.233333333,6.601,5,14.9086,1016.1,0.85,12,13,2008
12/13/2008,00:00.0,Overcast,rain,4.955555556,1.877777778,13.9426,123,9.7888,1015.52,0.88,12,13,2008
12/13/2008,00:00.0,Overcast,rain,3.861111111,1.083333333,11.0768,40,8.1305,1016.05,0.85,12,13,2008
12/13/2008,00:00.0,Overcast,rain,4.372222222,1.777777778,10.6743,40,14.9086,1016.17,0.8,12,13,2008
12/13/2008,00:00.0,Overcast,rain,4.022222222,1.566666667,9.7405,39,14.168,1016,0.83,12,13,2008
12/13/2008,00:00.0,Overcast,rain,2.822222222,2.822222222,3.2522,5,9.982,1016.23,0.89,12,13,2008
12/13/2008,00:00.0,Overcast,rain,2.822222222,0.661111111,7.7602,31,11.2056,1016.24,0.95,12,13,2008
12/13/2008,00:00.0,Overcast,rain,3.883333333,1.955555556,7.567,5,6.8908,1016.31,0.9,12,13,2008
12/13/2008,00:00.0,Overcast,rain,3.861111111,3.861111111,3.4454,20,5.2808,1015.96,0.92,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,4.905555556,2.75,9.1609,88,11.27,1015.86,0.86,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,6.788888889,5.783333333,6.0375,64,11.0285,1015.61,0.82,12,13,2008
12/13/2008,00:00.0,Overcast,rain,6.961111111,5.1,9.6117,59,11.2056,1015.27,0.8,12,13,2008
12/13/2008,00:00.0,Overcast,rain,6.983333333,5.45,8.1305,59,11.2056,1015.04,0.8,12,13,2008
12/13/2008,00:00.0,Overcast,rain,6.172222222,4.233333333,9.2575,90,11.0285,1014.92,0.87,12,13,2008
12/13/2008,00:00.0,Overcast,rain,7.033333333,7.033333333,3.5098,108,11.2056,1014.69,0.8,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,6.016666667,5.188888889,5.1681,80,11.27,1014.43,0.86,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,6.122222222,4.872222222,6.5044,110,8.4203,1014.56,0.86,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,5.994444444,5.122222222,5.2808,88,6.2951,1014.71,0.86,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,5.972222222,5.244444444,4.8783,116,6.2951,1015.01,0.86,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,5.861111111,3.388888889,11.592,145,6.4883,1015.41,0.88,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,5.95,3.15,13.6045,148,6.1985,1015.42,0.86,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,5.388888889,3.016666667,10.6099,148,6.1985,1015.72,0.89,12,13,2008
12/13/2008,00:00.0,Mostly Cloudy,rain,4.938888889,2.516666667,10.4006,167,5.4579,1015.68,0.9,12,13,2008
12/13/2008,00:00.0,Overcast,rain,4.422222222,2.872222222,6.601,146,4.1699,1015.9,0.92,12,13,2008
12/14/2008,00:00.0,Overcast,rain,4.422222222,2.983333333,6.2629,147,4.1699,1015.81,0.92,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.544444444,1.388888889,8.1788,115,14.0231,1019.11,0.87,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,4.955555556,1.438888889,16.8728,139,9.6761,1015.82,0.89,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,4.955555556,1.066666667,19.6903,149,14.6832,1015.91,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,4.888888889,1.4,16.5186,149,14.7959,1016.1,0.84,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.916666667,0.377777778,15.3433,148,11.1251,1015.83,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.916666667,0.15,16.8245,158,11.27,1016.12,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.811111111,0.255555556,15.2789,146,11.0768,1016.57,0.84,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.894444444,0.327777778,15.4721,150,10.0464,1017,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.916666667,0.866666667,12.4936,158,10.0464,1017.32,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,5.011111111,1.427777778,17.4202,148,10.4006,1017.82,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,5.066666667,1.522222222,17.227,150,10.0464,1017.59,0.82,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,7.15,4.322222222,15.6814,140,10.0464,1017.2,0.74,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,7.177777778,3.844444444,19.8835,156,10.4006,1017.14,0.75,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,7.777777778,4.288888889,22.9425,140,10.0464,1016.8,0.76,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,7.755555556,4.427777778,21.2681,149,9.982,1016.99,0.72,12,14,2008
12/14/2008,00:00.0,Partly Cloudy,rain,6.061111111,3.005555556,15.4882,136,10.3523,1017.32,0.8,12,14,2008
12/14/2008,00:00.0,Partly Cloudy,rain,4.883333333,1.816666667,13.7816,137,9.982,1017.51,0.83,12,14,2008
12/14/2008,00:00.0,Partly Cloudy,rain,5.905555556,2.277777778,19.5776,148,9.982,1018.19,0.77,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,4.838888889,1.011111111,18.9336,145,9.982,1018.47,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,4.933333333,1.905555556,13.6367,157,9.982,1018.53,0.83,12,14,2008
12/14/2008,00:00.0,Partly Cloudy,rain,4.4,1.822222222,10.6421,147,15.8263,1019.11,0.83,12,14,2008
12/14/2008,00:00.0,Partly Cloudy,rain,4.377777778,0.644444444,17.3558,145,14.9569,1019.5,0.83,12,14,2008
12/14/2008,00:00.0,Mostly Cloudy,rain,3.333333333,0.477777778,10.9319,138,15.6492,1019.7,0.85,12,14,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,4.327777778,1.605555556,11.27,140,15.6492,1019.71,0.83,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,5.6,1.5,23.0874,155,15.0052,1022.99,0.79,12,15,2008
12/15/2008,00:00.0,Partly Cloudy,rain,2.733333333,-0.294444444,11.1573,119,14.7315,1019.81,0.85,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,3.772222222,0.461111111,13.7977,128,14.7315,1020.3,0.83,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,4.288888889,0.972222222,14.49,139,14.0231,1020.4,0.84,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,3.8,1.4,9.338,100,9.8049,1020.6,0.89,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,3.844444444,0.783333333,12.4614,108,9.8049,1020.8,0.83,12,15,2008
12/15/2008,00:00.0,Partly Cloudy,rain,3.977777778,0.811111111,13.202,112,9.9015,1021.01,0.89,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,4.816666667,2.005555556,12.2521,119,9.9015,1021.61,0.83,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,5.994444444,2.722222222,16.9372,138,9.982,1022.21,0.77,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,7.083333333,3.544444444,21.5579,148,10.3523,1022.6,0.75,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,7.761111111,4.25,23.1196,149,9.982,1022.51,0.77,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,8.822222222,5.594444444,23.2967,149,9.982,1022.4,0.72,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,8.833333333,5.538888889,24.0856,149,10.3523,1022.28,0.72,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,8.844444444,5.627777778,23.2323,149,9.982,1022.12,0.72,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,7.827777778,4.466666667,21.7672,139,10.0464,1022.39,0.76,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,7.65,4.105555556,23.2323,148,10.4006,1022.57,0.72,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,7.133333333,4.155555556,16.7762,148,10.0464,1022.81,0.72,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,7.133333333,4.344444444,15.3594,147,10.0464,1023.3,0.72,12,15,2008
12/15/2008,00:00.0,Overcast,rain,6.116666667,2.577777778,19.3039,157,10.0303,1023.49,0.77,12,15,2008
12/15/2008,00:00.0,Overcast,rain,6.088888889,2.8,17.227,159,9.982,1023.4,0.77,12,15,2008
12/15/2008,00:00.0,Overcast,rain,6.044444444,1.922222222,24.5364,149,15.8746,1023.7,0.77,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,5.522222222,2.194444444,16.4864,147,15.0052,1023.75,0.8,12,15,2008
12/15/2008,00:00.0,Mostly Cloudy,rain,5.488888889,2.094444444,16.8889,149,15.8746,1024.09,0.8,12,15,2008
12/16/2008,00:00.0,Overcast,rain,5.488888889,1.7,19.9801,149,15.8746,1024,0.8,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,6.066666667,2.444444444,19.8835,140,14.168,1019.07,0.8,12,16,2008
12/16/2008,00:00.0,Overcast,rain,5.994444444,1.883333333,24.311,159,15.8746,1023.82,0.8,12,16,2008
12/16/2008,00:00.0,Overcast,rain,5.488888889,2.083333333,16.9533,149,15.8746,1023.72,0.83,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,4.983333333,1.444444444,17.0338,151,15.0052,1023.61,0.83,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,3.961111111,1.25,10.8353,168,10.0464,1023.51,0.89,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,4.977777778,2.155555556,12.4936,149,10.0464,1023.3,0.82,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,4.983333333,2.094444444,12.8478,145,10.4006,1023.13,0.86,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,4.977777778,1.883333333,14.0714,149,10.0464,1023.19,0.86,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,6.066666667,2.411111111,20.1411,149,9.982,1023.29,0.8,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,7.038888889,4.322222222,14.6993,156,10.3523,1023.64,0.76,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,7.222222222,4.405555556,15.7297,159,9.982,1023.08,0.8,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,8.794444444,5.577777778,23.1035,150,11.2056,1022.39,0.72,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,8.7,5.083333333,27.4666,158,10.3523,1022.05,0.73,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,7.827777778,4.083333333,25.921,159,9.982,1021.48,0.77,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,7.777777778,4.15,24.4398,149,9.982,1021.28,0.77,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,7.155555556,3.855555556,19.5132,147,10.3523,1020.88,0.75,12,16,2008
12/16/2008,00:00.0,Mostly Cloudy,rain,7.177777778,5.05,11.1895,147,9.982,1020.88,0.8,12,16,2008
12/16/2008,00:00.0,Overcast,rain,7.155555556,4.377777778,15.3433,138,9.982,1020.13,0.74,12,16,2008
12/16/2008,00:00.0,Overcast,rain,7.066666667,3.722222222,19.7547,137,9.982,1020.05,0.75,12,16,2008
12/16/2008,00:00.0,Overcast,rain,7.155555556,3.816666667,19.8835,138,9.982,1019.8,0.74,12,16,2008
12/16/2008,00:00.0,Overcast,rain,6.622222222,3.5,16.9533,138,15.8263,1019.11,0.77,12,16,2008
12/16/2008,00:00.0,Overcast,rain,6.016666667,2.383333333,19.8513,126,14.9569,1018.75,0.8,12,16,2008
12/16/2008,00:00.0,Overcast,rain,6.116666667,2.85,17.0821,148,15.8263,1018.88,0.77,12,16,2008
12/17/2008,00:00.0,Overcast,rain,6.116666667,2.838888889,17.1626,139,15.8263,1018.29,0.8,12,17,2008
12/17/2008,00:00.0,Overcast,rain,6.438888889,3.183333333,17.6617,136,6.7137,1011.77,0.92,12,17,2008
12/17/2008,00:00.0,Overcast,rain,6.138888889,2.488888889,20.2538,149,14.9569,1017.38,0.8,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,5.577777778,1.761111111,20.447,148,14.9086,1016.78,0.8,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,6.511111111,2.283333333,27.0641,145,14.168,1015.99,0.78,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,6.066666667,1.8,26.1142,149,9.982,1015.28,0.8,12,17,2008
12/17/2008,00:00.0,Partly Cloudy,rain,5.027777778,0.766666667,23.0874,149,9.982,1014.78,0.86,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,6.005555556,1.922222222,24.0051,156,10.3523,1014.61,0.8,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,6.044444444,1.794444444,25.8727,149,9.982,1014.5,0.8,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,7.111111111,3.311111111,24.2949,149,9.982,1014.61,0.74,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,7.827777778,3.838888889,28.9478,148,10.3523,1013.95,0.77,12,17,2008
12/17/2008,00:00.0,Breezy and Mostly Cloudy,rain,9.883333333,6.216666667,33.4719,159,9.982,1013.12,0.68,12,17,2008
12/17/2008,00:00.0,Mostly Cloudy,rain,9.955555556,6.577777778,29.3503,159,9.982,1012.41,0.72,12,17,2008
12/17/2008,00:00.0,Breezy and Mostly Cloudy,rain,9.9,6.338888889,31.8136,149,10.3523,1011.64,0.72,12,17,2008
12/17/2008,00:00.0,Breezy and Mostly Cloudy,rain,8.938888889,4.955555556,33.5846,140,9.982,1011.23,0.72,12,17,2008
12/17/2008,00:00.0,Overcast,rain,8.916666667,5.488888889,25.921,149,11.27,1011.33,0.72,12,17,2008
12/17/2008,00:00.0,Overcast,rain,8.833333333,5.811111111,21.1393,135,11.4471,1011.52,0.78,12,17,2008
